B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 2
B13, Blotteritem, {'type': 'Trade', 'time': 76.77500000000889, 'price': 83.0, 'party1': 'B13', 'party2': 'S13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 599.2374999999886, 'price': 83.0, 'party1': 'B13', 'party2': 'S06', 'qty': 1}
B14, 5
B14, Blotteritem, {'type': 'Trade', 'time': 60.60000000000522, 'price': 85.0, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 346.4999999998218, 'price': 85.0, 'party1': 'B14', 'party2': 'S13', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 441.6874999997352, 'price': 85.0, 'party1': 'B14', 'party2': 'S10', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 458.91249999971956, 'price': 85.0, 'party1': 'B14', 'party2': 'S08', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 560.0124999998459, 'price': 85.0, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
B15, 3
B15, Blotteritem, {'type': 'Trade', 'time': 291.6374999998717, 'price': 86, 'party1': 'B15', 'party2': 'S10', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 492.499999999689, 'price': 86, 'party1': 'B15', 'party2': 'S06', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 599.0374999999879, 'price': 84, 'party1': 'B15', 'party2': 'S13', 'qty': 1}
B16, 13
B16, Blotteritem, {'type': 'Trade', 'time': 18.099999999999508, 'price': 91.0, 'party1': 'B16', 'party2': 'S13', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 51.67500000000319, 'price': 91.0, 'party1': 'B16', 'party2': 'S06', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 105.52500000001542, 'price': 91.0, 'party1': 'B16', 'party2': 'S06', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 162.59999999998905, 'price': 91.0, 'party1': 'B16', 'party2': 'S08', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 246.1124999999131, 'price': 91.0, 'party1': 'B16', 'party2': 'S15', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 328.83749999983786, 'price': 91.0, 'party1': 'B16', 'party2': 'S10', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 354.03749999981494, 'price': 91.0, 'party1': 'B16', 'party2': 'S08', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 400.22499999977293, 'price': 91.0, 'party1': 'B16', 'party2': 'S05', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 441.1624999997357, 'price': 91.0, 'party1': 'B16', 'party2': 'S01', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 482.3124999996983, 'price': 91.0, 'party1': 'B16', 'party2': 'S06', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 516.3124999996869, 'price': 91.0, 'party1': 'B16', 'party2': 'S05', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 566.9499999998711, 'price': 91.0, 'party1': 'B16', 'party2': 'S06', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 594.5999999999717, 'price': 91.0, 'party1': 'B16', 'party2': 'S01', 'qty': 1}
B17, 3
B17, Blotteritem, {'type': 'Trade', 'time': 58.86250000000482, 'price': 91, 'party1': 'S12', 'party2': 'B17', 'qty': 1}
