B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 1
B14, Blotteritem, {'type': 'Trade', 'time': 319.5874999998463, 'price': 85.0, 'party1': 'B14', 'party2': 'S09', 'qty': 1}
B15, 2
B15, Blotteritem, {'type': 'Trade', 'time': 20.474999999999373, 'price': 88.0, 'party1': 'B15', 'party2': 'S07', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 313.01249999985225, 'price': 88.0, 'party1': 'B15', 'party2': 'S08', 'qty': 1}
B16, 3
B16, Blotteritem, {'type': 'Trade', 'time': 284.7874999998779, 'price': 90, 'party1': 'B16', 'party2': 'S03', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 319.4749999998464, 'price': 86, 'party1': 'B16', 'party2': 'S02', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 326.56249999983993, 'price': 89, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
B17, 4
B17, Blotteritem, {'type': 'Trade', 'time': 3.3875000000000144, 'price': 76, 'party1': 'S04', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 285.31249999987745, 'price': 93.0, 'party1': 'B17', 'party2': 'S14', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 347.41249999982097, 'price': 93.0, 'party1': 'B17', 'party2': 'S15', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 350.08749999981853, 'price': 93, 'party1': 'S00', 'party2': 'B17', 'qty': 1}
B18, 10
B18, Blotteritem, {'type': 'Trade', 'time': 4.637500000000032, 'price': 83.0, 'party1': 'S13', 'party2': 'B18', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 90.68750000001205, 'price': 96.0, 'party1': 'B18', 'party2': 'S03', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 146.76250000000346, 'price': 96.0, 'party1': 'B18', 'party2': 'S07', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 275.899999999886, 'price': 96.0, 'party1': 'B18', 'party2': 'S06', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 308.6749999998562, 'price': 96.0, 'party1': 'B18', 'party2': 'S05', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 324.274999999842, 'price': 91.0, 'party1': 'S16', 'party2': 'B18', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 367.9124999998023, 'price': 96.0, 'party1': 'B18', 'party2': 'S06', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 410.5874999997635, 'price': 96.0, 'party1': 'B18', 'party2': 'S03', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 461.4999999997172, 'price': 96.0, 'party1': 'B18', 'party2': 'S15', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 516.9374999996892, 'price': 96.0, 'party1': 'B18', 'party2': 'S06', 'qty': 1}
B19, 14
B19, Blotteritem, {'type': 'Trade', 'time': 90.17500000001193, 'price': 98.0, 'party1': 'B19', 'party2': 'S08', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 119.22500000001854, 'price': 98.0, 'party1': 'B19', 'party2': 'S15', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 140.18750000000944, 'price': 98.0, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 270.78749999989066, 'price': 98.0, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 290.38749999987283, 'price': 98.0, 'party1': 'S19', 'party2': 'B19', 'qty': 1}
