B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B12, Blotteritem, {'type': 'Trade', 'time': 459.6249999997189, 'price': 80.0, 'party1': 'B12', 'party2': 'S04', 'qty': 1}
B13, 0
B14, 3
B14, Blotteritem, {'type': 'Trade', 'time': 128.97500000001963, 'price': 85.0, 'party1': 'B14', 'party2': 'S00', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 352.6749999998162, 'price': 85.0, 'party1': 'B14', 'party2': 'S04', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 453.54999999972443, 'price': 85.0, 'party1': 'B14', 'party2': 'S09', 'qty': 1}
B15, 11
B15, Blotteritem, {'type': 'Trade', 'time': 51.800000000003216, 'price': 88.0, 'party1': 'B15', 'party2': 'S14', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 84.03750000001054, 'price': 88.0, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 128.0375000000205, 'price': 88.0, 'party1': 'B15', 'party2': 'S14', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 181.92499999997148, 'price': 88.0, 'party1': 'B15', 'party2': 'S04', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 241.22499999991754, 'price': 88.0, 'party1': 'B15', 'party2': 'S14', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 279.89999999988237, 'price': 88.0, 'party1': 'B15', 'party2': 'S04', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 351.94999999981684, 'price': 88.0, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 412.6749999997616, 'price': 88.0, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 451.6999999997261, 'price': 88.0, 'party1': 'B15', 'party2': 'S00', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 504.2624999996783, 'price': 88.0, 'party1': 'B15', 'party2': 'S06', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 568.3374999998762, 'price': 88.0, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B16, 2
B16, Blotteritem, {'type': 'Trade', 'time': 316.4624999998491, 'price': 88, 'party1': 'B16', 'party2': 'S14', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 455.3249999997228, 'price': 88, 'party1': 'S05', 'party2': 'B16', 'qty': 1}
B17, 1
